1990s_빈도_1,1990s_빈도_2,1990s_빈도_3,1990s_빈도_4,1990s_빈도_5,1990s_빈도_6,1990s_빈도_7,1990s_빈도_8,1990s_빈도_9,1990s_빈도_10,2000s_빈도_1,2000s_빈도_2,2000s_빈도_3,2000s_빈도_4,2000s_빈도_5,2000s_빈도_6,2000s_빈도_7,2000s_빈도_8,2000s_빈도_9,2000s_빈도_10,2010s_빈도_1,2010s_빈도_2,2010s_빈도_3,2010s_빈도_4,2010s_빈도_5,2010s_빈도_6,2010s_빈도_7,2010s_빈도_8,2010s_빈도_9,2010s_빈도_10,2020s_빈도_1,2020s_빈도_2,2020s_빈도_3,2020s_빈도_4,2020s_빈도_5,2020s_빈도_6,2020s_빈도_7,2020s_빈도_8,2020s_빈도_9,2020s_빈도_10
"('넌', 5)","('날', 5)","('사랑', 5)","('마음', 2)","('어떤날', 2)","('눈빛', 2)","('필요', 1)","('오늘', 1)","('종이', 1)","('비행기', 1)","('날', 5)","('모퉁이', 4)","('뒤', 4)","('말', 3)","('뻔', 3)","('밤', 3)","('대오', 2)","('길', 2)","('한참', 2)","('웃음', 2)","('사랑', 14)","('날', 5)","('맘', 3)","('잘못', 2)","('마음', 2)","('건', 2)","('거', 2)","('이해', 1)","('얼굴', 1)","('아니야', 1)",,,,,,,,,,
"('번', 4)","('거', 4)","('봄', 4)","('새싹', 4)","('말', 2)","('스스로', 2)","('밤', 1)","('가운데', 1)","('앞', 1)","('가야', 1)","('전화', 5)","('힘', 3)","('고민', 3)","('리', 3)","('노예', 3)","('필요', 2)","('때문', 2)","('사랑', 2)","('기분', 2)","('말', 1)","('만해', 9)","('사랑', 6)","('말', 6)","('거짓말', 5)","('넌', 4)","('빈집', 3)","('문', 3)","('자존심', 3)","('땜', 3)","('이별', 3)",,,,,,,,,,
"('건', 4)","('히야', 4)","('몸매', 2)","('외모', 2)","('여자', 2)","('사실', 2)","('욕심', 2)","('주제', 2)","('착각', 2)","('조건', 2)","('사람', 11)","('말', 9)","('사랑', 5)","('얘기', 5)","('날', 3)","('약속', 2)","('여자', 2)","('버릇', 2)","('텐', 2)","('데', 2)","('사랑', 15)","('애', 9)","('게', 7)","('사랑이야', 5)","('이유', 4)","('지', 4)","('말', 4)","('맘', 3)","('나야', 3)","('심장', 3)",,,,,,,,,,
"('낯선', 6)","('말', 6)","('날', 2)","('세상', 2)","('선물', 1)","('생각', 1)","('유월', 1)","('장미', 1)","('축제', 1)","('재미', 1)","('사랑', 6)","('사람', 4)","('내 사랑', 3)","('번', 3)","('허락', 2)","('말', 2)","('부족', 2)","('불행', 2)","('이쯤', 2)","('게', 2)","('사랑', 5)","('몸', 5)","('넌', 3)","('소름', 2)","('이름', 2)","('필요', 2)","('날', 1)","('거짓말', 1)","('반복', 1)","('싸움', 1)",,,,,,,,,,
"('예전', 3)","('약속', 3)","('외로움', 3)","('기억', 2)","('추억', 2)","('무어', 2)","('건지', 2)","('얘기', 2)","('눈물', 1)","('듯', 1)","('사랑', 4)","('맘', 4)","('날', 3)","('사람', 2)","('거', 2)","('이제', 2)","('헤어', 2)","('진도', 2)","('얘기', 2)","('웃음', 1)","('남자', 8)","('건', 3)","('가슴', 2)","('양심', 2)","('놈', 2)","('말', 1)","('맘', 1)","('힘', 1)","('편', 1)","('번', 1)",,,,,,,,,,
"('세상', 6)","('날', 5)","('내', 4)","('게로', 4)","('길', 4)","('끝', 3)","('문', 2)","('속', 1)","('손짓', 1)","('편', 1)","('예감', 8)","('속', 8)","('오늘', 7)","('기분', 6)","('좋은 날', 4)","('상상', 3)","('넌', 3)","('표정', 3)","('단어', 3)","('안녕', 3)","('얘기', 4)","('밖', 4)","('문자', 4)","('뭐', 3)","('자니', 3)","('금', 3)","('뜻', 3)","('아니야', 3)","('밤', 2)","('분', 2)",,,,,,,,,,
"('뿐', 4)","('날', 3)","('매력', 3)","('세상', 2)","('제일', 2)","('말', 2)","('영화배우', 2)","('뮤지', 2)","('션', 2)","('음', 2)","('누나', 8)","('내 여자', 7)","('너라고', 5)","('여자', 4)","('하든', 3)","('거', 2)","('동생', 1)","('정도', 1)","('뿐', 1)","('남자', 1)","('사랑', 3)","('속', 2)","('대만', 2)","('허락', 1)","('기억', 1)","('아픔', 1)","('소리', 1)","('영원', 1)","('곁', 1)","('날', 1)",,,,,,,,,,
"('친구', 11)","('거', 4)","('잘못', 3)","('넌', 3)","('날', 3)","('만남', 2)","('뿐', 2)","('예감', 2)","('관심', 2)","('어느날', 2)","('기억', 5)","('거짓', 3)","('눈', 3)","('모습', 3)","('데', 2)","('미소', 2)","('날', 2)","('눈빛', 2)","('보고 싶다', 2)","('말', 2)","('너와 나', 17)","('연결고리', 16)","('이건', 16)","('소리', 16)","('돈', 5)","('집', 4)","('실력', 3)","('힙합', 3)","('객기', 2)","('무대', 2)",,,,,,,,,,
"('사랑', 13)","('할거', 6)","('말', 2)","('끝', 2)","('이제', 1)","('힘', 1)","('욕', 1)","('후회', 1)","('생각', 1)","('거', 1)","('말', 4)","('남자', 4)","('사랑', 4)","('곁', 3)","('눈물', 2)","('사랑해', 2)","('손', 2)","('거리', 2)","('번', 2)","('쯤', 2)","('오늘', 5)","('남자', 4)","('너를 사랑해', 4)","('애', 3)","('중', 3)","('제일', 3)","('생각', 3)","('얘기', 2)","('말', 2)","('처음', 2)",,,,,,,,,,
"('밤', 6)","('끝', 5)","('사랑', 5)","('맘', 3)","('행복', 3)","('괜찮아', 3)","('마지막', 2)","('입맞춤', 2)","('아쉬움', 2)","('손', 2)","('키', 4)","('건', 3)","('사람', 3)","('오늘', 3)","('바람', 3)","('방문', 2)","('기둥', 2)","('엄마', 2)","('이서', 2)","('체크', 2)","('모습', 5)","('오리', 4)","('비틀', 4)","('가슴', 4)","('미운오리새끼', 4)","('거', 4)","('왼쪽', 3)","('강물', 3)","('날', 3)","('길', 2)",,,,,,,,,,
